Genes,ER_coefficient,P53_coefficient,Grade_coefficient
"COMP,DNALI1,BMPR1B,GFRA1,HLA-DQA1,REPS2,TRIM58,EHF,SERPINA5",1,0,1
"C9orf100,CALML5,LOC652493,SLC2A6,MMP1,FCRL5,IGH@,IGK@,GABBR1,IGKV4-1,CCL18,NKG7,IGHM,LOC100293440,IGLV1-44,LOC100130100",1,0,1
"RP13-102H20.1,MSMB,MMP1,FCRL5,LBP,IGH@,GBP5,IGHD,IGK@,GABBR1,PLA2G2A,IGKV4-1,CCL18,NKG7,IGL@,TRBC1,FAM20B,IGLJ3,IGHA1,IGHM,LOC100293440,FABP7,IGLV1-44,LOC100130100",1,0,1
"IGL@,MUC5B,CCL5,APOL1,LOC100291464,LOC652493,MMP1,PIGR,FCRL5,IGH@,GABBR1,IGKV4-1,CCL18,NKG7,FAM20B,IGHM,IGK@,LOC100293440,IGLV1-44,LOC100130100",1,0,1
"GABRP,IGH@,HLA-J,CCL18,IGHA1,IGL@,FCRL5,GBP5,GABBR1,LOC652493,TRBC1,LBP,IGK@,LOC100130100,IGKV4-1,IGLV1-44,IGHM,IGHD,LOC100291464,FAM20B,PIGR,FABP7,MMP1,LOC100293440",1,0,1
"SPTBN1,COL2A1,OSR1,KRT81,KRT23,KRT17,VGLL1,GABRP,MIA",-1,0,1
"C7orf55,PCSK1,DHPS,CHGB,HMP19,INSM1,PTPRN2,CARTPT,NTS,SYT4,APLP1,GRIA2",0,-1,1
"ZNF780A,PCSK1,FLJ44606,LRP2,GRIA2,SEZ6,HMP19,INSM1,SNAP25,NTS,CARTPT,CHGB,SYT4,APLP1",0,-1,1
"SCARA5,PCSK1,NEFH,NRXN3,SYT4,CARTPT,CHGA,CPB1,APLP1,SEZ6,CHGB,GRIA2,INSM1,NTS",0,-1,1
"WT1,PCSK1,NTRK2,CHGA,HMP19,NTS,NRXN3,SYT4,SEZ6,CHGB,INSM1,APLP1,GRIA2,CARTPT",0,-1,1
"TLE1,PCSK1,INSM1,CYP2A6,LTF,MUC5B,SYT4,CPNE4,GRIA2,CHGB,CARTPT,NTS",0,-1,1
"XYLB,PCSK1,ELAVL3,CHGB,SNAP25,KCNK3,CHGA,GRIN2C,NTS,GRIA2,SEZ6,HMP19,CARTPT,SYT4,INSM1,APLP1",0,-1,1
"ANKRD44,PCSK1,UTF1,NTS,CHGA,KCNK3,INSM1,PTPRN2,GRIA2,SEZ6,APLP1,SYT4,CARTPT,CHGB",0,-1,1
"HPX,PCSK1,GPR39,PTPRN2,MUC5B,SCGB1D2,NTS,CARTPT,GRIA2,INSM1,CHGB",0,-1,1
"TBX1,PCSK1,IL20RA,OGDHL,SYT13,APLP1,CARTPT,NTS,GRIA2,SYT4,CHGA,CHGB,INSM1",0,-1,1
"CRLF1,MUC5B,ZNF331,INSM1,SCGB1D2,CARTPT,LTF,GRIA2,NTS,PCSK1,CHGB",0,-1,1
"LOC646934,NTS,FAM5B,RTBDN,NPW,CEACAM5,APLP1,ASCL1,PCSK1,SYT4,SNAP25,SEZ6,CHGB,HMP19,CARTPT,INSM1,CHGA,GRIA2",0,-1,1
"EMX2,SLITRK6,INSM1,MUC5B,CARTPT,NTS,PCSK1",0,-1,1
"PITX1,CYP2A6,CST5,TF,GRIA2,GAD1,PCSK1,CLEC3A",0,-1,1
"MGC13005,PCSK1,NCBP1,CHGA,APLP1,GRIN2C,OGDHL,NTS,INSM1,GRIA2,CARTPT,SYT4,CHGB",0,-1,1
"PTGIS,CYP2A6,ANKRD30A,EHF,GRIA2,LTF,FOSB",0,-1,1
"HIST1H2BC,MUC5B,TM6SF2,C10orf141,CHGB,INSM1,CARTPT,NTS,PTPRN2",0,-1,1
"NUMA1,FAM5C,SLC14A2,CLEC3A,GAD1,CYP2A6,GRIA2",0,-1,1
"MEF2C,CYP2A6,ANKRD30A,EHF,GRIA2,FOSB,MGP,LTF",0,-1,1
"TTC36,LALBA,CSN1S1,CEL,BMPR1B,CSN3",0,-1,1
"SFRP1,CYP2A6,NRXN3,SCGB1D2,SCGB2A2,CARTPT,MUC5B",0,-1,1
